method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
LadoOposto_850_Arv1_15m_cut_2560_640-7_250883392226148,0.6363636363636364,0.4375,0.5185185185185185,0.2892561983471074,0.05289256198347107,7,4,9,0.4802162647247314
LadoOposto_850_Arv1_15m_cut_320_0-8_593639575971732,0.43478260869565216,0.5,0.46511627906976744,0.23715415019762845,0.06798418972332015,10,13,10,0.4489831924438476
LadoOposto_850_Arv1_15m_cut_320_320-8_593639575971732,0.5294117647058824,0.5625,0.5454545454545455,0.2887700534759359,0.06737967914438503,9,8,7,0.4024419784545898
LadoOposto_850_Arv1_15m_cut_320_640-8_593639575971732,0.47619047619047616,0.35714285714285715,0.40816326530612246,0.17316017316017315,0.047619047619047616,10,11,18,0.4211809635162353
LadoOposto_850_Arv1_15m_cut_320_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,0.3652985095977783
LadoOposto_850_Arv1_15m_cut_640_0-8_593639575971732,0.5,0.3333333333333333,0.4,0.18181818181818182,0.04261363636363637,8,8,16,0.5153317451477051
LadoOposto_850_Arv1_15m_cut_640_320-8_593639575971732,0.625,0.45454545454545453,0.5263157894736842,0.2840909090909091,0.10625,10,6,12,0.3930485248565674
LadoOposto_850_Arv1_15m_cut_640_640-8_593639575971732,0.5,0.5,0.5,0.2727272727272727,0.06487603305785124,11,11,11,0.4103446006774902
LadoOposto_850_Arv1_15m_cut_640_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,0.4066333770751953
LadoOposto_850_Arv1_15m_cut_960_0-8_593639575971732,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.29752066115702475,0.0793388429752066,12,10,10,0.4772191047668457
LadoOposto_850_Arv1_15m_cut_960_320-8_593639575971732,0.25,0.36363636363636365,0.2962962962962963,0.09090909090909091,0.02215909090909091,4,12,7,0.4196252822875976
LadoOposto_850_Arv1_15m_cut_960_640-8_593639575971732,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.33201581027667987,0.08893280632411069,14,9,10,0.4090123176574707
LadoOposto_850_Arv1_15m_cut_960_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,2,0.3870368003845215
